index,ans0,ans1,ans2,model,cat
46,-0.14458278,-1.0736763,-0.667132,deberta-v3-base-race,Age
47,0.5676852,-3.4315228,2.8673954,deberta-v3-base-race,Age
48,-3.9531114,0.113585606,-1.861227,deberta-v3-base-race,Age
49,-5.5003886,-3.6523573,3.1532996,deberta-v3-base-race,Age
50,-0.4053411,-0.59661955,-1.2661421,deberta-v3-base-race,Age
51,-0.14601997,2.7375906,-3.3704233,deberta-v3-base-race,Age
52,-2.0331473,-1.2148168,-0.1463605,deberta-v3-base-race,Age
53,3.3715918,-0.9126017,-3.5551004,deberta-v3-base-race,Age
54,-1.5405755,-0.13924573,-0.61905146,deberta-v3-base-race,Age
55,-3.74985,0.52582,3.1216571,deberta-v3-base-race,Age
56,-1.0951579,-1.1805787,-0.22226784,deberta-v3-base-race,Age
57,-1.2499604,3.871668,-3.3937933,deberta-v3-base-race,Age
58,-0.30162406,-1.4938254,-0.468601,deberta-v3-base-race,Age
59,0.14874673,-2.7682185,2.9974015,deberta-v3-base-race,Age
60,-0.9856128,-0.07832456,-1.9056256,deberta-v3-base-race,Age
61,-1.0027907,-3.354051,3.5602372,deberta-v3-base-race,Age
62,0.13426538,-0.57089496,-1.4237707,deberta-v3-base-race,Age
63,0.61271536,3.0110297,-2.9126017,deberta-v3-base-race,Age
64,-1.8620782,-2.1002562,-1.1955103,deberta-v3-base-race,Age
65,-5.7266583,1.0297273,-1.053097,deberta-v3-base-race,Age
66,-4.385804,-4.6376987,-1.6654111,deberta-v3-base-race,Age
67,-5.2531095,-3.097288,-0.9642176,deberta-v3-base-race,Age
68,-2.0922437,-1.7852645,-2.848228,deberta-v3-base-race,Age
69,1.8090665,-5.404825,-2.5268967,deberta-v3-base-race,Age
70,-3.149694,-4.325771,-3.90109,deberta-v3-base-race,Age
71,-2.1939979,-5.302937,-4.093824,deberta-v3-base-race,Age
72,-2.0599327,-3.6437876,-2.675599,deberta-v3-base-race,Age
73,0.8529517,-3.2313826,-6.0164638,deberta-v3-base-race,Age
74,-4.4186597,-3.043296,-4.3243723,deberta-v3-base-race,Age
75,-3.3644266,-2.90626,-5.085528,deberta-v3-base-race,Age
76,-2.5905263,-1.9004292,-3.3478603,deberta-v3-base-race,Age
77,-5.9087844,1.9848802,-3.6135619,deberta-v3-base-race,Age
78,-3.9398296,-3.3131182,-3.0974872,deberta-v3-base-race,Age
79,-5.3665195,-2.4310362,-2.5848455,deberta-v3-base-race,Age
80,-2.452585,-3.6083496,-2.4716265,deberta-v3-base-race,Age
81,-5.9249263,-3.1232293,2.1439805,deberta-v3-base-race,Age
82,-4.433322,-2.9945028,-5.6151557,deberta-v3-base-race,Age
83,-5.4391274,-2.6646814,-3.5039716,deberta-v3-base-race,Age
84,-3.8451202,-4.284732,-1.4611279,deberta-v3-base-race,Age
85,-6.307376,-5.0668707,1.9623504,deberta-v3-base-race,Age
86,-4.016853,-3.808059,-5.670762,deberta-v3-base-race,Age
87,-5.6334176,-5.4321094,-4.764499,deberta-v3-base-race,Age
88,-1.7969165,-1.6365451,-2.6330283,deberta-v3-base-race,Age
89,-5.75094,-0.8900174,1.2451502,deberta-v3-base-race,Age
90,-3.9352696,-2.167401,-5.228616,deberta-v3-base-race,Age
91,-4.159409,-1.043427,-3.712713,deberta-v3-base-race,Age
92,-1.8504456,-2.1028407,-3.4042618,deberta-v3-base-race,Age
93,1.5820651,-6.143389,-3.0722907,deberta-v3-base-race,Age
94,-5.5732408,-3.1949346,-3.3452752,deberta-v3-base-race,Age
95,-4.7898827,-4.1913314,-3.0815601,deberta-v3-base-race,Age
96,-3.4380238,-2.6363783,-2.9552763,deberta-v3-base-race,Age
97,-3.6228912,-4.2731137,1.3353626,deberta-v3-base-race,Age
98,-1.8120472,-3.1452017,-3.037411,deberta-v3-base-race,Age
99,-3.2232296,-2.860677,-1.5734879,deberta-v3-base-race,Age
100,-2.7550316,-3.415921,-2.6951926,deberta-v3-base-race,Age
101,-2.0385666,1.1692308,-4.713524,deberta-v3-base-race,Age
102,-2.3677166,-3.1134722,-3.255831,deberta-v3-base-race,Age
103,-2.6304429,-1.6345425,-3.4583051,deberta-v3-base-race,Age
104,-2.8184712,-1.3416455,-2.7293918,deberta-v3-base-race,Age
105,1.3655456,-0.8151963,-4.4347057,deberta-v3-base-race,Age
106,-2.993078,-1.2934666,-3.084731,deberta-v3-base-race,Age
107,-1.4857937,-0.863253,-3.2861924,deberta-v3-base-race,Age
108,-2.5302413,-2.8683293,-2.8213222,deberta-v3-base-race,Age
109,-4.4152713,-2.1698627,1.2003564,deberta-v3-base-race,Age
110,-3.3276608,-3.4637463,-2.8274612,deberta-v3-base-race,Age
111,-3.057986,-3.4935644,-1.6127347,deberta-v3-base-race,Age
112,-2.413887,-3.2581117,-2.4981782,deberta-v3-base-race,Age
113,-4.9389367,1.0596927,-3.195625,deberta-v3-base-race,Age
114,-3.4530342,-2.8824673,-3.8480473,deberta-v3-base-race,Age
115,-3.5674145,-1.7776772,-3.809799,deberta-v3-base-race,Age
116,-2.4486125,-2.7489803,-3.4651096,deberta-v3-base-race,Age
117,-4.3307605,1.1293412,-3.7914984,deberta-v3-base-race,Age
118,-3.1741612,-2.7657518,-1.8597215,deberta-v3-base-race,Age
119,-3.413495,-1.4898902,-3.2645574,deberta-v3-base-race,Age
120,-3.4207191,-2.778443,-2.6650748,deberta-v3-base-race,Age
121,-3.523084,1.4220389,-4.489982,deberta-v3-base-race,Age
122,-1.834779,-3.4671583,-3.0694551,deberta-v3-base-race,Age
123,-3.1882348,-2.0920084,-3.4581432,deberta-v3-base-race,Age
124,-3.8155978,-2.423387,-2.7982605,deberta-v3-base-race,Age
125,-3.3638248,-3.88953,1.7149969,deberta-v3-base-race,Age
126,-2.7385695,-3.2897336,-3.549249,deberta-v3-base-race,Age
127,-3.2030776,-3.6735897,-2.3198183,deberta-v3-base-race,Age
128,-2.538644,-2.6061456,-1.1056337,deberta-v3-base-race,Age
129,1.6506472,-4.1596594,-0.63265526,deberta-v3-base-race,Age
130,-3.5555594,-2.9947703,-0.97803736,deberta-v3-base-race,Age
131,-2.266678,-3.5846984,-0.50803834,deberta-v3-base-race,Age
132,-2.054178,-2.436245,-2.9056022,deberta-v3-base-race,Age
133,-3.1224277,-4.6190443,1.4381243,deberta-v3-base-race,Age
134,-3.040495,-3.0282078,-3.3510695,deberta-v3-base-race,Age
135,-3.4778755,-3.3834372,-1.8753803,deberta-v3-base-race,Age
136,-2.2133586,-3.2830179,-2.9028687,deberta-v3-base-race,Age
137,-4.027263,-2.5523634,1.6499331,deberta-v3-base-race,Age
138,-3.2547963,-2.3275573,-3.4344647,deberta-v3-base-race,Age
139,-3.6203878,-2.4688828,-2.1263723,deberta-v3-base-race,Age
140,-2.4701009,-2.631522,-2.312721,deberta-v3-base-race,Age
141,-4.1842384,1.6018862,-3.1498563,deberta-v3-base-race,Age
142,-2.9654567,-3.3404582,-3.758783,deberta-v3-base-race,Age
143,-3.5969067,-2.0238135,-3.7898786,deberta-v3-base-race,Age
144,-1.9992722,-3.431383,-3.323714,deberta-v3-base-race,Age
145,2.7878585,-2.4536288,-4.7096295,deberta-v3-base-race,Age
146,-2.9504287,-2.3585122,-2.7791588,deberta-v3-base-race,Age
147,-2.9483411,-2.480927,-2.4760227,deberta-v3-base-race,Age
148,-3.8773367,-3.059008,-1.8440657,deberta-v3-base-race,Age
149,-3.4381115,-4.776056,2.7011414,deberta-v3-base-race,Age
150,-2.817054,-2.7653232,-3.0635068,deberta-v3-base-race,Age
151,-3.1863754,-2.2240875,-2.83246,deberta-v3-base-race,Age
152,-2.3293996,-2.9971726,-1.0390867,deberta-v3-base-race,Age
153,2.5212548,-5.5857587,-0.68994844,deberta-v3-base-race,Age
154,-3.0259972,-3.1267707,-0.92288375,deberta-v3-base-race,Age
155,-3.3641603,-2.3187277,-0.43615234,deberta-v3-base-race,Age
156,-2.6510527,-3.2343452,-2.1594856,deberta-v3-base-race,Age
157,-2.2995958,-5.8404975,2.5231476,deberta-v3-base-race,Age
158,-3.382902,-3.2153418,-3.0348997,deberta-v3-base-race,Age
159,-3.5050285,-2.1720397,-3.1520076,deberta-v3-base-race,Age
160,-3.8439028,-2.1214159,-2.3915925,deberta-v3-base-race,Age
161,-5.128555,-3.3676746,2.747131,deberta-v3-base-race,Age
162,-2.6485486,-3.119962,-3.2343614,deberta-v3-base-race,Age
163,-2.8851535,-3.6228745,-2.8751829,deberta-v3-base-race,Age
164,-2.1370306,-3.5728405,-1.1229097,deberta-v3-base-race,Age
165,2.691037,-5.1581063,-0.6505083,deberta-v3-base-race,Age
166,-3.3967404,-2.7410915,-0.96404564,deberta-v3-base-race,Age
167,-2.809385,-2.8379786,-0.44357702,deberta-v3-base-race,Age
168,-2.200078,-2.5411677,-2.9308445,deberta-v3-base-race,Age
169,2.947391,-2.1809988,-4.7893353,deberta-v3-base-race,Age
170,-3.2634485,-3.285374,-3.16645,deberta-v3-base-race,Age
171,-3.301564,-3.4398186,-2.6938136,deberta-v3-base-race,Age
172,-3.0731776,-2.0368438,-2.2150152,deberta-v3-base-race,Age
173,-5.059245,2.9904845,-3.4684985,deberta-v3-base-race,Age
174,-3.2480044,-3.2672713,-3.728677,deberta-v3-base-race,Age
175,-2.464214,-3.1042295,-3.9758742,deberta-v3-base-race,Age
176,-3.3590395,-2.262637,-3.0626557,deberta-v3-base-race,Age
177,-2.5375056,2.2869685,-5.0948496,deberta-v3-base-race,Age
178,-2.4201424,-3.2035186,-2.6345134,deberta-v3-base-race,Age
179,-2.4599152,-2.8939106,-2.9928098,deberta-v3-base-race,Age
180,-3.8844182,-2.0424955,-2.87955,deberta-v3-base-race,Age
181,-3.406071,2.2034693,-4.994446,deberta-v3-base-race,Age
182,-2.911138,-3.2862997,-2.5845845,deberta-v3-base-race,Age
183,-3.2094097,-2.8308702,-2.6989863,deberta-v3-base-race,Age
184,-2.311694,-2.6677454,-2.4590135,deberta-v3-base-race,Age
185,-3.439622,-5.5464425,2.0749373,deberta-v3-base-race,Age
186,-3.7376268,-3.199221,-3.1405592,deberta-v3-base-race,Age
187,-3.8739698,-3.2594721,-2.9864428,deberta-v3-base-race,Age
188,-3.745736,-2.3107245,-2.7713993,deberta-v3-base-race,Age
189,-3.3664677,2.1482723,-5.667419,deberta-v3-base-race,Age
190,-2.8244712,-3.1615865,-3.1778858,deberta-v3-base-race,Age
191,-3.2164907,-2.9203932,-2.969262,deberta-v3-base-race,Age
192,-3.7168958,-1.9327914,-3.8865883,deberta-v3-base-race,Age
193,-6.857748,-4.6519976,0.16105981,deberta-v3-base-race,Age
194,-3.3470314,-4.30064,-3.1364129,deberta-v3-base-race,Age
195,3.4484892,-5.429374,-5.6708236,deberta-v3-base-race,Age
196,-3.1842494,-2.8655877,-0.9913004,deberta-v3-base-race,Age
197,-0.6607241,-6.2721868,-2.5564551,deberta-v3-base-race,Age
198,-2.2171617,-2.5106158,-1.060195,deberta-v3-base-race,Age
199,-4.98329,4.455795,-1.9047788,deberta-v3-base-race,Age
200,-3.8679888,-3.5331357,-2.1667542,deberta-v3-base-race,Age
201,-0.2755185,-6.3800316,-1.3288264,deberta-v3-base-race,Age
202,-2.8385286,-3.6831098,-4.6401153,deberta-v3-base-race,Age
203,-5.6557326,4.1360564,-5.603686,deberta-v3-base-race,Age
204,-3.7479384,-3.875841,-1.5097079,deberta-v3-base-race,Age
205,-6.486892,0.12043483,-3.0806174,deberta-v3-base-race,Age
206,-2.5242224,-1.9440403,-3.8103728,deberta-v3-base-race,Age
207,3.395979,-5.6280513,-4.2903247,deberta-v3-base-race,Age
208,-1.1716651,-2.870848,-3.6709707,deberta-v3-base-race,Age
209,-3.3096666,-6.5135493,-0.27471837,deberta-v3-base-race,Age
210,-2.0747516,-2.4800196,-2.2446587,deberta-v3-base-race,Age
211,-2.4133809,4.319501,-5.2356343,deberta-v3-base-race,Age
212,-3.4346838,-3.471133,-3.9827225,deberta-v3-base-race,Age
213,-4.4127936,-6.4746823,0.36529273,deberta-v3-base-race,Age
214,-4.7296352,-3.3075728,-2.4083047,deberta-v3-base-race,Age
215,-5.5467362,4.0441694,-5.2552123,deberta-v3-base-race,Age
216,-3.47432,-2.2043111,-4.251214,deberta-v3-base-race,Age
217,0.3353996,-1.4139044,-6.9850326,deberta-v3-base-race,Age
218,-2.3332489,-4.643292,-2.868796,deberta-v3-base-race,Age
219,-5.326262,-5.6608996,3.5238066,deberta-v3-base-race,Age
220,-3.622971,-3.2996163,-1.9302835,deberta-v3-base-race,Age
221,-0.20587255,-6.4088416,-3.445965,deberta-v3-base-race,Age
222,-2.355942,-2.7313795,-4.0335107,deberta-v3-base-race,Age
223,-4.791213,4.434397,-5.8056927,deberta-v3-base-race,Age
224,-3.6254256,-3.5847976,-1.7061801,deberta-v3-base-race,Age
225,-0.7254766,-6.6069226,-3.2420523,deberta-v3-base-race,Age
226,-2.8509405,-3.8775723,-3.8694966,deberta-v3-base-race,Age
227,-5.5790567,3.806278,-4.1858325,deberta-v3-base-race,Age
228,-3.9529817,-3.6563067,-1.9451785,deberta-v3-base-race,Age
229,-0.10469105,-6.8081255,-4.6337676,deberta-v3-base-race,Age
230,-2.8860462,-3.7693675,-4.30026,deberta-v3-base-race,Age
231,-5.703878,4.1094303,-5.5472846,deberta-v3-base-race,Age
232,-3.775946,-3.6012573,-1.895051,deberta-v3-base-race,Age
233,-0.12863718,-6.707172,-1.1574491,deberta-v3-base-race,Age
234,-1.6587889,-2.80769,-4.051548,deberta-v3-base-race,Age
235,-5.3546004,4.259556,-5.498097,deberta-v3-base-race,Age
236,-2.1356478,-4.2881613,-2.98874,deberta-v3-base-race,Age
237,-4.2773747,0.04005642,-5.7498975,deberta-v3-base-race,Age
238,-3.020933,-2.5817928,-3.529103,deberta-v3-base-race,Age
239,-3.280168,-5.6015844,4.396267,deberta-v3-base-race,Age
240,-3.2959878,-3.1272376,-1.9171857,deberta-v3-base-race,Age
241,-6.474883,0.95997524,-4.607847,deberta-v3-base-race,Age
242,-3.093994,-1.9497566,-4.302204,deberta-v3-base-race,Age
243,3.668474,-5.03054,-5.525751,deberta-v3-base-race,Age
244,-1.1424928,-3.4202497,-3.5358002,deberta-v3-base-race,Age
245,-3.4802692,-6.5980935,0.7752063,deberta-v3-base-race,Age
246,-2.044682,-2.911764,-1.9828366,deberta-v3-base-race,Age
247,-2.275956,3.9401004,-5.4982047,deberta-v3-base-race,Age
248,-3.3230724,-4.386631,-2.155522,deberta-v3-base-race,Age
249,-5.4791265,1.1242931,-4.2241135,deberta-v3-base-race,Age
250,-3.20822,-2.7428257,-3.217823,deberta-v3-base-race,Age
251,4.0217085,-5.265761,-3.388021,deberta-v3-base-race,Age
252,-4.1171308,-1.8349197,-3.4820633,deberta-v3-base-race,Age
253,-6.833615,-2.7170408,-0.25818658,deberta-v3-base-race,Age
254,-3.8471267,-3.5366669,-3.126211,deberta-v3-base-race,Age
255,3.7709103,-2.942752,-6.003165,deberta-v3-base-race,Age
256,-3.4327595,-3.6129391,-3.520385,deberta-v3-base-race,Age
257,-4.4724197,-6.702155,-0.11054429,deberta-v3-base-race,Age
258,-4.753033,-2.9372528,-2.2519512,deberta-v3-base-race,Age
259,-5.354746,3.984752,-5.738552,deberta-v3-base-race,Age
260,-4.096858,-3.2066505,-2.1575916,deberta-v3-base-race,Age
261,-0.3815663,-6.293394,-4.111922,deberta-v3-base-race,Age
262,-3.4884026,-3.9514964,-2.9870656,deberta-v3-base-race,Age
263,-5.908365,3.7783525,-3.1401594,deberta-v3-base-race,Age
264,-1.8639808,-4.164164,-1.5471789,deberta-v3-base-race,Age
265,-1.3168004,1.0679344,-4.994246,deberta-v3-base-race,Age
266,-2.3636339,-3.078718,-1.525692,deberta-v3-base-race,Age
267,-2.3880124,-5.401494,2.1315417,deberta-v3-base-race,Age
268,-4.017698,-1.7980574,-1.3554934,deberta-v3-base-race,Age
269,1.2494645,-0.6244455,-4.2811127,deberta-v3-base-race,Age
270,-3.036001,-2.6557543,-1.5402418,deberta-v3-base-race,Age
271,-5.3186584,-2.4707332,2.268801,deberta-v3-base-race,Age
272,-1.6036236,-3.8338284,-4.534641,deberta-v3-base-race,Age
273,-5.3997364,1.0374566,-4.228501,deberta-v3-base-race,Age
274,-1.5301001,-3.3027904,-4.412441,deberta-v3-base-race,Age
275,2.079389,-5.3785152,-4.4735312,deberta-v3-base-race,Age
276,-3.487466,-1.0915253,-1.3846289,deberta-v3-base-race,Age
277,1.3584979,0.029402643,-4.645645,deberta-v3-base-race,Age
278,-3.2029243,-1.1958375,-1.5153067,deberta-v3-base-race,Age
279,-5.318861,-1.4412954,2.2172263,deberta-v3-base-race,Age
280,-1.9470074,-4.691424,-3.4575348,deberta-v3-base-race,Age
281,-5.345963,-5.4670887,1.2838976,deberta-v3-base-race,Age
282,-1.2521505,-5.519376,-2.9974263,deberta-v3-base-race,Age
283,2.1434894,-6.1503687,-5.1413965,deberta-v3-base-race,Age
284,-2.1901205,-0.81119746,-2.5544481,deberta-v3-base-race,Age
285,-1.3710732,-3.9002373,1.9230603,deberta-v3-base-race,Age
286,-2.4884176,-0.32404473,-2.5354772,deberta-v3-base-race,Age
287,-2.3350677,2.530442,-4.767029,deberta-v3-base-race,Age
288,-1.9714336,-1.1385851,-3.233444,deberta-v3-base-race,Age
289,-5.632178,-0.09182622,1.3615763,deberta-v3-base-race,Age
290,-1.1951573,-1.2533817,-3.211579,deberta-v3-base-race,Age
291,2.142297,-1.5567694,-5.1089597,deberta-v3-base-race,Age
292,-2.117449,-0.7914444,-0.82100743,deberta-v3-base-race,Age
293,2.165988,0.21783158,-4.2291164,deberta-v3-base-race,Age
294,-2.7095265,-1.063148,-0.24259762,deberta-v3-base-race,Age
295,-4.832576,-1.179273,2.5011966,deberta-v3-base-race,Age
296,-1.635915,-4.2764955,-4.2712297,deberta-v3-base-race,Age
297,-4.9239235,-4.329687,1.0851057,deberta-v3-base-race,Age
298,-1.4577727,-3.2430413,-3.4954865,deberta-v3-base-race,Age
299,2.1351645,-4.213996,-5.4340677,deberta-v3-base-race,Age
300,-1.4770589,-4.0586095,-2.0472662,deberta-v3-base-race,Age
301,-4.2019157,1.2464257,-0.694973,deberta-v3-base-race,Age
302,-1.4826354,-3.3258703,-2.8540635,deberta-v3-base-race,Age
303,2.2408922,-5.296634,-2.5483167,deberta-v3-base-race,Age
304,-3.9277654,-1.3866316,-1.6704149,deberta-v3-base-race,Age
305,1.1216698,-0.11123419,-5.3425765,deberta-v3-base-race,Age
306,-3.5924737,-1.7629184,-1.4203601,deberta-v3-base-race,Age
307,-5.4464774,-1.6451918,2.1073122,deberta-v3-base-race,Age
308,-4.846191,-1.4731857,-3.5972085,deberta-v3-base-race,Age
309,-5.360091,-4.4625893,1.3399105,deberta-v3-base-race,Age
310,-5.493185,-1.4479187,-3.379238,deberta-v3-base-race,Age
311,-6.11983,2.2254145,-5.429106,deberta-v3-base-race,Age
312,-2.6874175,-2.0694203,-3.603724,deberta-v3-base-race,Age
313,-1.7290561,-5.395461,1.3157988,deberta-v3-base-race,Age
314,-3.0508997,-1.2949204,-2.8406723,deberta-v3-base-race,Age
315,-2.2693508,2.105934,-5.1495757,deberta-v3-base-race,Age
316,-4.1221786,-2.6268969,-0.9769449,deberta-v3-base-race,Age
317,-3.6508524,1.8536766,-4.083531,deberta-v3-base-race,Age
318,-4.1300488,-2.3086784,-0.43534303,deberta-v3-base-race,Age
319,-4.3929505,-4.855675,2.3817134,deberta-v3-base-race,Age
320,-2.66193,-3.4020488,-2.1067762,deberta-v3-base-race,Age
321,-1.7376435,1.273315,-5.6653075,deberta-v3-base-race,Age
322,-3.0453527,-2.986133,-1.2359786,deberta-v3-base-race,Age
323,-2.219912,-5.15448,2.099992,deberta-v3-base-race,Age
324,-0.88662934,-2.3676217,-0.97982836,deberta-v3-base-race,Age
325,0.22118787,1.9808178,-4.326344,deberta-v3-base-race,Age
326,-1.0854527,-2.5366178,-0.34582287,deberta-v3-base-race,Age
327,-1.1393754,-4.875263,2.3707073,deberta-v3-base-race,Age
328,-4.5041203,-2.6531398,-1.32838,deberta-v3-base-race,Age
329,-4.5001388,-5.892325,1.6900012,deberta-v3-base-race,Age
330,-4.2976723,-0.83235836,-3.1049697,deberta-v3-base-race,Age
331,-3.9959004,2.5833,-5.920917,deberta-v3-base-race,Age
332,-2.1921582,-1.4810416,-2.2133074,deberta-v3-base-race,Age
333,1.5896993,-0.41283402,-5.3589697,deberta-v3-base-race,Age
334,-3.395644,-2.421144,-0.9391004,deberta-v3-base-race,Age
335,-5.886212,-2.8401308,2.5927777,deberta-v3-base-race,Age
336,-1.0736454,-2.5549612,-1.2809768,deberta-v3-base-race,Age
337,0.01920532,-5.742587,1.8216501,deberta-v3-base-race,Age
338,-1.2724459,-0.9459497,-3.171356,deberta-v3-base-race,Age
339,-1.5292671,2.5593925,-6.0675683,deberta-v3-base-race,Age
340,-2.1789472,-2.1872563,-3.7598286,deberta-v3-base-race,Age
341,-5.2536077,1.4609358,-3.6304572,deberta-v3-base-race,Age
342,-0.9123697,-3.4162772,-3.261099,deberta-v3-base-race,Age
343,2.6920662,-5.961132,-3.4182665,deberta-v3-base-race,Age
344,-4.256213,-1.1890361,-2.6026628,deberta-v3-base-race,Age
345,-4.6004405,1.9063976,-5.9460406,deberta-v3-base-race,Age
346,-3.1294909,-2.9262586,-0.32711753,deberta-v3-base-race,Age
347,-4.0239096,-5.71934,2.7569585,deberta-v3-base-race,Age
348,-1.4116346,-4.2114024,-0.94616437,deberta-v3-base-race,Age
349,-4.918018,-4.760779,2.3982933,deberta-v3-base-race,Age
350,0.2227606,-2.6729994,-2.5825589,deberta-v3-base-race,Age
351,2.9839156,-3.8032765,-5.4785814,deberta-v3-base-race,Age
352,-1.0208433,-2.5817473,-4.2889843,deberta-v3-base-race,Age
353,2.0210698,-5.8088164,-4.605453,deberta-v3-base-race,Age
354,-2.9464753,-0.49394426,-3.1246765,deberta-v3-base-race,Age
355,-5.9282207,2.7246003,-4.0100656,deberta-v3-base-race,Age
356,-0.86157155,-0.7995457,-1.4196657,deberta-v3-base-race,Age
357,2.2440577,0.30393082,-4.895374,deberta-v3-base-race,Age
358,-2.5525753,-0.6822001,0.19653212,deberta-v3-base-race,Age
359,-5.497885,-1.3039507,3.0498154,deberta-v3-base-race,Age
360,-1.5852296,-2.4500287,-4.5255294,deberta-v3-base-race,Age
361,1.5911012,-5.8777785,-4.5882373,deberta-v3-base-race,Age
362,-3.0773995,-1.0662924,-4.3275433,deberta-v3-base-race,Age
363,-5.6736765,2.533945,-4.000975,deberta-v3-base-race,Age
364,-4.3368287,-1.9860917,-2.3405008,deberta-v3-base-race,Age
365,-4.6144276,-5.3907104,1.5735958,deberta-v3-base-race,Age
366,-3.2578442,-1.109865,-3.2923377,deberta-v3-base-race,Age
367,-4.0846295,2.6172593,-5.753625,deberta-v3-base-race,Age
368,-3.7765172,-1.4102616,-2.4050422,deberta-v3-base-race,Age
369,-3.7335322,1.7689223,-5.796859,deberta-v3-base-race,Age
370,-3.3722515,-3.0797374,-1.1637354,deberta-v3-base-race,Age
371,-3.599303,-5.981054,2.5511448,deberta-v3-base-race,Age
372,-2.0170777,-4.4757833,-2.257116,deberta-v3-base-race,Age
373,-5.290735,-4.273689,1.4328728,deberta-v3-base-race,Age
374,-1.1233966,-4.29144,-3.359511,deberta-v3-base-race,Age
375,2.658766,-3.9697824,-5.817017,deberta-v3-base-race,Age
376,-0.97805196,-1.4651552,-2.3647625,deberta-v3-base-race,Age
377,0.005212338,1.7339567,-5.826822,deberta-v3-base-race,Age
378,-1.0392594,-2.9135625,-0.58261245,deberta-v3-base-race,Age
379,-1.627723,-5.6029053,2.610852,deberta-v3-base-race,Age
380,-1.4393933,-1.1525359,-1.2055998,deberta-v3-base-race,Age
381,-1.0728247,2.286702,-4.862187,deberta-v3-base-race,Age
382,-1.7349447,-2.5873377,0.057403285,deberta-v3-base-race,Age
383,-1.8798611,-5.3553367,2.8630822,deberta-v3-base-race,Age
384,-1.2134277,-2.4001925,-1.7536278,deberta-v3-base-race,Age
385,1.9474721,-5.750037,-1.2488188,deberta-v3-base-race,Age
386,-2.9741793,-0.71336794,-2.1232047,deberta-v3-base-race,Age
387,-5.827247,2.610965,-1.8675969,deberta-v3-base-race,Age
388,-0.9933809,-1.2858667,-1.066504,deberta-v3-base-race,Age
